Plot,MAP,PLOT_MAP_LAI,Index,PLOT_MAP_INDEX,Plot_type
K13,2,0.78,BNDVI,0.561087638139725,Without tree
K13,2,0.78,CIG,1.51114279031754,Without tree
K13,2,0.78,DVI,0.138900004327297,Without tree
K13,2,0.78,EVI,0.190745010972023,Without tree
K13,2,0.78,GNDVI,0.430384173989296,Without tree
K13,2,0.78,GRVI,2.51114273071289,Without tree
K13,2,0.78,NDVI,0.26505434513092,Without tree
K13,2,0.78,NDWI,-0.430384173989296,Without tree
K13,2,0.78,RVI,1.58694541454315,Without tree
K13,2,0.78,SAVI,0.179589077830315,Without tree
K13,2,0.78,SeLI,0.162428632378578,Without tree
K13,2,0.78,TCARI,0.0578385517001152,Without tree
K13,2,0.78,VIG,-0.189538657665253,Without tree
K13,3,1.0666666666666667,BNDVI,0.702285557985306,Without tree
K13,3,1.0666666666666667,CIG,2.63287806510925,Without tree
K13,3,1.0666666666666667,DVI,0.265050008893013,Without tree
K13,3,1.0666666666666667,EVI,0.400473386049271,Without tree
K13,3,1.0666666666666667,GNDVI,0.568301796913147,Without tree
K13,3,1.0666666666666667,GRVI,3.63287806510925,Without tree
K13,3,1.0666666666666667,NDVI,0.501189321279526,Without tree
K13,3,1.0666666666666667,NDWI,-0.568301796913147,Without tree
K13,3,1.0666666666666667,RVI,2.68983900547028,Without tree
K13,3,1.0666666666666667,SAVI,0.348453000187874,Without tree
K13,3,1.0666666666666667,SeLI,0.2930648624897,Without tree
K13,3,1.0666666666666667,TCARI,0.141939736902714,Without tree
K13,3,1.0666666666666667,VIG,-0.103259347379208,Without tree
K13,4,0.3666666666666667,BNDVI,0.65518069267273,Without tree
K13,4,0.3666666666666667,CIG,2.03890812397003,Without tree
K13,4,0.3666666666666667,DVI,0.198300004005432,Without tree
K13,4,0.3666666666666667,EVI,0.331100136041641,Without tree
K13,4,0.3666666666666667,GNDVI,0.504809707403183,Without tree
K13,4,0.3666666666666667,GRVI,3.03890812397003,Without tree
K13,4,0.3666666666666667,NDVI,0.45760689675808,Without tree
K13,4,0.3666666666666667,NDWI,-0.504809707403183,Without tree
K13,4,0.3666666666666667,RVI,2.55134224891663,Without tree
K13,4,0.3666666666666667,SAVI,0.275769248604774,Without tree
K13,4,0.3666666666666667,SeLI,0.27711296081543,Without tree
K13,4,0.3666666666666667,TCARI,0.134568519890308,Without tree
K13,4,0.3666666666666667,VIG,-0.0752133205533028,Without tree
K13,6,0.38333333333333336,NA,NA,Without tree
K13,7,0.4166666666666667,BNDVI,0.61508059501648,Without tree
K13,7,0.4166666666666667,CIG,1.71028244495392,Without tree
K13,7,0.4166666666666667,DVI,0.179650008678436,Without tree
K13,7,0.4166666666666667,EVI,0.240280374884605,Without tree
K13,7,0.4166666666666667,GNDVI,0.460956767201424,Without tree
K13,7,0.4166666666666667,GRVI,2.71028232574463,Without tree
K13,7,0.4166666666666667,NDVI,0.314190775156021,Without tree
K13,7,0.4166666666666667,NDWI,-0.460956767201424,Without tree
K13,7,0.4166666666666667,RVI,1.86872386932373,Without tree
K13,7,0.4166666666666667,SAVI,0.229395635426044,Without tree
K13,7,0.4166666666666667,SeLI,0.223964482545853,Without tree
K13,7,0.4166666666666667,TCARI,0.0803673341870308,Without tree
K13,7,0.4166666666666667,VIG,-0.181723184883595,Without tree
K13,8,0.7285714285714285,NA,NA,Without tree
K14,2,1.44,BNDVI,0.622022211551666,Without tree
K14,2,1.44,CIG,2.06621885299683,Without tree
K14,2,1.44,DVI,0.169799998402596,Without tree
K14,2,1.44,EVI,0.260924160480499,Without tree
K14,2,1.44,GNDVI,0.508142530918121,Without tree
K14,2,1.44,GRVI,3.06621885299683,Without tree
K14,2,1.44,NDVI,0.375236302614212,Without tree
K14,2,1.44,NDWI,-0.508142530918121,Without tree
K14,2,1.44,RVI,1.91985285282135,Without tree
K14,2,1.44,SAVI,0.234288886189461,Without tree
K14,2,1.44,SeLI,0.250144213438034,Without tree
K14,2,1.44,TCARI,0.0810648277401924,Without tree
K14,2,1.44,VIG,-0.16738198697567,Without tree
K14,3,3.066666666666667,BNDVI,0.723652362823486,Without tree
K14,3,3.066666666666667,CIG,3.10460233688354,Without tree
K14,3,3.066666666666667,DVI,0.268399983644485,Without tree
K14,3,3.066666666666667,EVI,0.405438393354416,Without tree
K14,3,3.066666666666667,GNDVI,0.60819673538208,Without tree
K14,3,3.066666666666667,GRVI,4.10460233688354,Without tree
K14,3,3.066666666666667,NDVI,0.517187476158142,Without tree
K14,3,3.066666666666667,NDWI,-0.60819673538208,Without tree
K14,3,3.066666666666667,RVI,2.76791524887085,Without tree
K14,3,3.066666666666667,SAVI,0.353413134813309,Without tree
K14,3,3.066666666666667,SeLI,0.353760451078415,Without tree
K14,3,3.066666666666667,TCARI,0.108705185353756,Without tree
K14,3,3.066666666666667,VIG,-0.134408578276634,Without tree
K14,4,1.7,BNDVI,0.703775882720947,Without tree
K14,4,1.7,CIG,3.06037759780884,Without tree
K14,4,1.7,DVI,0.243000000715256,Without tree
K14,4,1.7,EVI,0.399080783128738,Without tree
K14,4,1.7,GNDVI,0.604772567749023,Without tree
K14,4,1.7,GRVI,4.06037759780884,Without tree
K14,4,1.7,NDVI,0.535257935523987,Without tree
K14,4,1.7,NDWI,-0.604772567749023,Without tree
K14,4,1.7,RVI,2.97097396850586,Without tree
K14,4,1.7,SAVI,0.333882480859756,Without tree
K14,4,1.7,SeLI,0.394948959350586,Without tree
K14,4,1.7,TCARI,0.110595397651196,Without tree
K14,4,1.7,VIG,-0.100726902484894,Without tree
